Date : 2024-03-10 13:00:42
Directory : c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\core
Total : 2904 files,  -759311 codes, -236699 comments, -142850 blanks, all -1138860 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\Config\VideoConfig.h                                                | C++              |        -16 |         -8 |        -12 |        -36 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\README.md                                                           | Markdown         |         -9 |          0 |         -9 |        -18 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\RingBuffer\RingBuffer.cpp                                           | C++              |       -186 |        -52 |        -41 |       -279 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\RingBuffer\RingBuffer.h                                             | C++              |        -43 |        -62 |        -20 |       -125 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\RingBuffer\RingInit.cpp                                             | C++              |        -23 |        -28 |         -6 |        -57 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\RingBuffer\RingInit.h                                               | C++              |        -22 |        -27 |        -10 |        -59 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\VHT\audio\AudioInterrupt.cpp                                        | C++              |       -150 |         -7 |        -46 |       -203 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\VHT\audio\audio_drv.c                                               | C                |       -215 |        -28 |        -49 |       -292 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\VHT\audio\audio_drv.h                                               | C++              |        -43 |        -71 |        -22 |       -136 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\VHT\video\VideoInterrupt.cpp                                        | C++              |        -61 |         -4 |        -37 |       -102 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\VHT\video\video_drv.c                                               | C                |       -158 |        -22 |        -53 |       -233 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingNodes\VHT\video\video_drv.h                                               | C++              |        -37 |        -65 |        -23 |       -125 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingSink.h                                                                    | C++              |        -30 |        -30 |         -9 |        -69 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\StreamingSource.h                                                                  | C++              |        -28 |        -38 |        -10 |        -76 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\ToComplex.h                                                                        | C++              |        -22 |        -32 |         -8 |        -62 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\ToReal.h                                                                           | C++              |        -21 |        -32 |         -6 |        -59 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\Unzip.h                                                                            | C++              |        -23 |        -38 |         -5 |        -66 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\Zip.h                                                                              | C++              |        -23 |        -27 |         -7 |        -57 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\host\FileSink.h                                                                    | C++              |        -19 |        -28 |         -6 |        -53 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\nodes\cpp\host\FileSource.h                                                                  | C++              |        -43 |        -33 |        -12 |        -88 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\SDFTools\sdf\src\GenericNodes.h                                                                           | C++              |       -212 |        -30 |        -56 |       -298 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Scripts\GenMFCCDataForCPP.py                                                                              | Python           |        -23 |        -35 |        -10 |        -68 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Scripts\README.md                                                                                         | Markdown         |         -3 |          0 |         -2 |         -5 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Scripts\genMVETwiddleCoefs.py                                                                             | Python           |       -368 |        -42 |       -128 |       -538 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Scripts\mfccconfig.yaml                                                                                   | YAML             |       -114 |          0 |        -21 |       -135 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Scripts\mfccconfig_f16.yaml                                                                               | YAML             |        -40 |          0 |         -7 |        -47 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Scripts\mfccdata.py                                                                                       | Python           |       -172 |        -31 |        -52 |       -255 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Scripts\mfcctemplates\mfccdata.c                                                                          | C                |        -30 |          0 |        -11 |        -41 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Scripts\mfcctemplates\mfccdata.h                                                                          | C++              |        -47 |        -15 |        -23 |        -85 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\BasicMathFunctions.c                                                            | C                |        -59 |        -27 |         -2 |        -88 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\BasicMathFunctionsF16.c                                                         | C                |         -9 |        -27 |         -2 |        -38 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_abs_f16.c                                                                   | C                |        -76 |        -79 |        -44 |       -199 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_abs_f32.c                                                                   | C                |        -74 |        -79 |        -44 |       -197 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_abs_f64.c                                                                   | C                |        -15 |        -48 |        -12 |        -75 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_abs_q15.c                                                                   | C                |        -81 |        -71 |        -27 |       -179 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_abs_q31.c                                                                   | C                |        -97 |        -77 |        -35 |       -209 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_abs_q7.c                                                                    | C                |        -81 |        -73 |        -27 |       -181 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_add_f16.c                                                                   | C                |        -65 |        -72 |        -33 |       -170 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_add_f32.c                                                                   | C                |        -82 |        -78 |        -40 |       -200 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_add_f64.c                                                                   | C                |        -15 |        -49 |        -12 |        -76 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_add_q15.c                                                                   | C                |        -78 |        -74 |        -25 |       -177 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_add_q31.c                                                                   | C                |        -61 |        -72 |        -27 |       -160 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_add_q7.c                                                                    | C                |        -65 |        -72 |        -23 |       -160 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_and_u16.c                                                                   | C                |        -54 |        -60 |        -24 |       -138 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_and_u32.c                                                                   | C                |        -54 |        -53 |        -23 |       -130 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_and_u8.c                                                                    | C                |        -54 |        -53 |        -24 |       -131 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_clip_f16.c                                                                  | C                |        -70 |        -54 |        -18 |       -142 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_clip_f32.c                                                                  | C                |        -69 |        -63 |        -13 |       -145 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_clip_q15.c                                                                  | C                |        -69 |        -54 |        -12 |       -135 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_clip_q31.c                                                                  | C                |        -69 |        -54 |        -12 |       -135 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_clip_q7.c                                                                   | C                |        -69 |        -54 |        -12 |       -135 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_dot_prod_f16.c                                                              | C                |        -68 |        -80 |        -37 |       -185 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_dot_prod_f32.c                                                              | C                |        -94 |        -86 |        -49 |       -229 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_dot_prod_f64.c                                                              | C                |        -17 |        -50 |        -12 |        -79 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_dot_prod_q15.c                                                              | C                |        -69 |        -80 |        -24 |       -173 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_dot_prod_q31.c                                                              | C                |        -64 |        -83 |        -28 |       -175 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_dot_prod_q7.c                                                               | C                |        -79 |        -86 |        -27 |       -192 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_mult_f16.c                                                                  | C                |        -65 |        -72 |        -35 |       -172 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_mult_f32.c                                                                  | C                |        -82 |        -78 |        -41 |       -201 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_mult_f64.c                                                                  | C                |        -15 |        -49 |        -12 |        -76 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_mult_q15.c                                                                  | C                |        -87 |        -78 |        -28 |       -193 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_mult_q31.c                                                                  | C                |        -71 |        -72 |        -26 |       -169 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_mult_q7.c                                                                   | C                |        -71 |        -73 |        -25 |       -169 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_negate_f16.c                                                                | C                |        -59 |        -73 |        -35 |       -167 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_negate_f32.c                                                                | C                |        -73 |        -79 |        -41 |       -193 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_negate_f64.c                                                                | C                |        -14 |        -48 |        -12 |        -74 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_negate_q15.c                                                                | C                |        -71 |        -73 |        -28 |       -172 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_negate_q31.c                                                                | C                |        -81 |        -71 |        -27 |       -179 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_negate_q7.c                                                                 | C                |        -73 |        -71 |        -28 |       -172 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_not_u16.c                                                                   | C                |        -48 |        -59 |        -24 |       -131 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_not_u32.c                                                                   | C                |        -48 |        -52 |        -23 |       -123 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_not_u8.c                                                                    | C                |        -48 |        -52 |        -23 |       -123 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_offset_f16.c                                                                | C                |        -61 |        -73 |        -37 |       -171 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_offset_f32.c                                                                | C                |        -75 |        -79 |        -43 |       -197 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_offset_f64.c                                                                | C                |        -15 |        -49 |        -12 |        -76 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_offset_q15.c                                                                | C                |        -70 |        -73 |        -26 |       -169 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_offset_q31.c                                                                | C                |        -61 |        -72 |        -27 |       -160 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_offset_q7.c                                                                 | C                |        -65 |        -73 |        -25 |       -163 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_or_u16.c                                                                    | C                |        -54 |        -60 |        -24 |       -138 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_or_u32.c                                                                    | C                |        -54 |        -53 |        -22 |       -129 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_or_u8.c                                                                     | C                |        -54 |        -53 |        -22 |       -129 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_scale_f16.c                                                                 | C                |        -61 |        -86 |        -37 |       -184 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_scale_f32.c                                                                 | C                |        -80 |        -92 |        -45 |       -217 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_scale_f64.c                                                                 | C                |        -15 |        -49 |        -12 |        -76 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_scale_q15.c                                                                 | C                |        -91 |        -78 |        -33 |       -202 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_scale_q31.c                                                                 | C                |       -132 |        -79 |        -34 |       -245 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_scale_q7.c                                                                  | C                |        -81 |        -75 |        -31 |       -187 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_shift_q15.c                                                                 | C                |       -131 |        -84 |        -37 |       -252 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_shift_q31.c                                                                 | C                |       -103 |        -97 |        -33 |       -233 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_shift_q7.c                                                                  | C                |       -111 |        -84 |        -31 |       -226 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_sub_f16.c                                                                   | C                |        -65 |        -72 |        -35 |       -172 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_sub_f32.c                                                                   | C                |        -82 |        -78 |        -43 |       -203 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_sub_f64.c                                                                   | C                |        -15 |        -49 |        -12 |        -76 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_sub_q15.c                                                                   | C                |        -78 |        -74 |        -27 |       -179 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_sub_q31.c                                                                   | C                |        -61 |        -72 |        -27 |       -160 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_sub_q7.c                                                                    | C                |        -65 |        -72 |        -22 |       -159 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_xor_u16.c                                                                   | C                |        -54 |        -60 |        -24 |       -138 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_xor_u32.c                                                                   | C                |        -54 |        -53 |        -23 |       -130 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BasicMathFunctions\arm_xor_u8.c                                                                    | C                |        -54 |        -53 |        -23 |       -130 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BayesFunctions\BayesFunctions.c                                                                    | C                |         -1 |        -27 |         -2 |        -30 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BayesFunctions\BayesFunctionsF16.c                                                                 | C                |         -1 |        -25 |         -2 |        -28 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BayesFunctions\arm_gaussian_naive_bayes_predict_f16.c                                              | C                |       -114 |        -47 |        -47 |       -208 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\BayesFunctions\arm_gaussian_naive_bayes_predict_f32.c                                              | C                |       -255 |        -47 |        -95 |       -397 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\CommonTables\CommonTables.c                                                                        | C                |         -3 |        -27 |         -2 |        -32 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\CommonTables\CommonTablesF16.c                                                                     | C                |         -3 |        -27 |         -2 |        -32 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\CommonTables\arm_common_tables.c                                                                   | C                |    -69,407 |       -948 |       -222 |    -70,577 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\CommonTables\arm_common_tables_f16.c                                                               | C                |    -12,354 |       -184 |        -49 |    -12,587 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\CommonTables\arm_const_structs.c                                                                   | C                |       -502 |        -59 |        -94 |       -655 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\CommonTables\arm_const_structs_f16.c                                                               | C                |        -55 |        -42 |        -24 |       -121 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\CommonTables\arm_mve_tables.c                                                                      | C                |     -6,361 |        -28 |       -145 |     -6,534 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\CommonTables\arm_mve_tables_f16.c                                                                  | C                |     -5,498 |        -28 |        -51 |     -5,577 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\ComplexMathFunctions\ComplexMathFunctions.c                                                        | C                |        -34 |        -27 |         -6 |        -67 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\ComplexMathFunctions\ComplexMathFunctionsF16.c                                                     | C                |         -6 |        -25 |         -2 |        -33 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_conj_f16.c                                                          | C                |        -65 |        -87 |        -34 |       -186 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_conj_f32.c                                                          | C                |        -80 |        -93 |        -41 |       -214 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_conj_q15.c                                                          | C                |       -104 |        -66 |        -38 |       -208 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_conj_q31.c                                                          | C                |        -91 |        -66 |        -37 |       -194 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_dot_prod_f16.c                                                      | C                |       -144 |        -95 |        -50 |       -289 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_dot_prod_f32.c                                                      | C                |       -176 |       -105 |        -60 |       -341 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_dot_prod_q15.c                                                      | C                |       -141 |        -73 |        -43 |       -257 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\vendor\cmsis_core\CMSIS\DSP\Source\ComplexMathFunctions\arm_cmplx_dot_prod_q31.c                                                      | C                |       -141 |        -72 |        -47 |       -260 |
