Date : 2024-03-10 13:00:42
Directory : c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\core
Total : 2904 files,  -759311 codes, -236699 comments, -142850 blanks, all -1138860 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| ..\vendor\cmsis_core\Device\ARM\ARMCM7\Source\ARM                                                                                                                                         |          1 |        -97 |        -41 |        -35 |       -173 |
| ..\vendor\cmsis_core\Device\ARM\ARMCM7\Source\GCC                                                                                                                                         |          1 |       -113 |       -151 |        -33 |       -297 |
| ..\vendor\cmsis_core\Device\ARM\ARMCM7\Source\IAR                                                                                                                                         |          1 |        -93 |        -42 |        -21 |       -156 |
| ..\vendor\cmsis_core\Device\_Template_Flash                                                                                                                                               |          3 |        -79 |       -125 |        -39 |       -243 |
| ..\vendor\cmsis_core\Device\_Template_Vendor                                                                                                                                              |         15 |     -1,087 |     -1,903 |       -491 |     -3,481 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor                                                                                                                                       |         15 |     -1,087 |     -1,903 |       -491 |     -3,481 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device                                                                                                                                |          9 |       -770 |     -1,462 |       -355 |     -2,587 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device\Include                                                                                                                        |          3 |       -302 |     -1,058 |       -197 |     -1,557 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device\Include (Files)                                                                                                                |          2 |       -114 |       -128 |        -52 |       -294 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device\Include\Template                                                                                                               |          1 |       -188 |       -930 |       -145 |     -1,263 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device\Source                                                                                                                         |          6 |       -468 |       -404 |       -158 |     -1,030 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device\Source (Files)                                                                                                                 |          2 |       -106 |       -107 |        -40 |       -253 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device\Source\ARM                                                                                                                     |          2 |       -155 |        -87 |        -61 |       -303 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device\Source\GCC                                                                                                                     |          1 |       -114 |       -167 |        -36 |       -317 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device\Source\IAR                                                                                                                     |          1 |        -93 |        -43 |        -21 |       -157 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device_A                                                                                                                              |          6 |       -317 |       -441 |       -136 |       -894 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device_A\Include                                                                                                                      |          3 |       -134 |       -197 |        -72 |       -403 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device_A\Source                                                                                                                       |          3 |       -183 |       -244 |        -64 |       -491 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device_A\Source (Files)                                                                                                               |          2 |       -104 |       -194 |        -47 |       -345 |
| ..\vendor\cmsis_core\Device\_Template_Vendor\Vendor\Device_A\Source\ARM                                                                                                                   |          1 |        -79 |        -50 |        -17 |       -146 |
| ..\vendor\cmsis_core\docker                                                                                                                                                               |          2 |        -60 |         -2 |        -12 |        -74 |
