"filename", "language", "Markdown", "LinkerScript", "XML", "CMake", "Makefile", "C", "Assembly", "C++", "YAML", "HTML", "Groovy", "Python", "pip requirements", "Shell Script", "Ini", "JSON", "Batch", "reStructuredText", "SQL", "XSL", "toml", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\projdefs.h", "C++", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 14, 132
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\queue.h", "C", 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1561, 52, 1765
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\semphr.h", "C++", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1119, 30, 1216
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\stack_macros.h", "C++", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 21, 138
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\stream_buffer.h", "C++", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 831, 34, 946
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\task.h", "C", 0, 0, 0, 0, 0, 410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3140, 157, 3707
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\include\timers.h", "C++", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1256, 49, 1421
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\list.c", "C", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 48, 249
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\manifest.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM0\port.c", "C", 0, 0, 0, 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 82, 640
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM0\portmacro.h", "C++", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 31, 175
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM3\port.c", "C", 0, 0, 0, 0, 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 316, 102, 780
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM3\portmacro.h", "C++", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 47, 266
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM3_MPU\mpu_wrappers_v2_asm.c", "C", 0, 0, 0, 0, 0, 1974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 242, 2318
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM3_MPU\port.c", "C", 0, 0, 0, 0, 0, 941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 371, 220, 1532
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM3_MPU\portmacro.h", "C++", 0, 0, 0, 0, 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 69, 390
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM4F\port.c", "C", 0, 0, 0, 0, 0, 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 338, 115, 865
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM4F\portmacro.h", "C++", 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 46, 267
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM4_MPU\mpu_wrappers_v2_asm.c", "C", 0, 0, 0, 0, 0, 1974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 242, 2318
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM4_MPU\port.c", "C", 0, 0, 0, 0, 0, 1078, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 406, 242, 1726
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM4_MPU\portmacro.h", "C++", 0, 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 76, 496
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\FreeRTOS-Kernel\portable\GCC\ARM_CM7\r0p1\port.c", "C", 0, 0, 0, 0, 0, 409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333, 113, 855
